relative_day,mean_abs_return,num_observations,used_events,skipped_missing_ticker,skipped_after_panel
-10,0.6575354217225549,42028,42856,11541,0
-9,0.6580869819018782,42046,42856,11541,0
-8,0.6593405367718868,42047,42856,11541,0
-7,0.656558835375221,42059,42856,11541,0
-6,0.6584532281084636,42071,42856,11541,0
-5,0.6552568000687389,42074,42856,11541,0
-4,0.6603329092256971,42073,42856,11541,0
-3,0.656941840663034,42076,42856,11541,0
-2,0.6643949443924644,42082,42856,11541,0
-1,0.6739808985298144,42081,42856,11541,0
0,0.7339779273583313,42103,42856,11541,0
1,0.7359336809093632,42123,42856,11541,0
2,0.669981265685344,42126,42856,11541,0
3,0.6520400981421031,42132,42856,11541,0
4,0.6419824687397927,42138,42856,11541,0
5,0.6382391181938399,42149,42856,11541,0
6,0.6347731954477114,42155,42856,11541,0
7,0.6242178283369831,42154,42856,11541,0
8,0.6224567948462111,42155,42856,11541,0
9,0.6208157256019098,42153,42856,11541,0
10,0.6230209482938618,42143,42856,11541,0
